refArea,Number of cases,disease,refPeriod
Beirut,0,Mumps,09-2017
Beirut,0,Mumps,10-2017
Beirut,3,Mumps,11-2017
Beirut,0,Mumps,12-2017
Beqaa Valley,3,Mumps,01-2017
Beqaa Valley,2,Mumps,02-2017
Beqaa Valley,2,Mumps,03-2017
Beqaa Valley,6,Mumps,04-2017
Beqaa Valley,1,Mumps,05-2017
Beqaa Valley,6,Mumps,06-2017
Beqaa Valley,1,Mumps,07-2017
Beqaa Valley,3,Mumps,08-2017
Beqaa Valley,3,Mumps,09-2017
Beqaa Valley,2,Mumps,10-2017
Beqaa Valley,0,Mumps,11-2017
Beqaa Valley,4,Mumps,12-2017
South Governorate,1,Mumps,01-2017
South Governorate,4,Mumps,02-2017
South Governorate,57,Mumps,03-2017
South Governorate,5,Mumps,04-2017
South Governorate,35,Mumps,05-2017
South Governorate,7,Mumps,06-2017
South Governorate,0,Mumps,07-2017
South Governorate,0,Mumps,08-2017
South Governorate,0,Mumps,09-2017
South Governorate,3,Mumps,10-2017
South Governorate,6,Mumps,11-2017
South Governorate,0,Mumps,12-2017
North Lebanon,1,Mumps,01-2017
North Lebanon,1,Mumps,02-2017
North Lebanon,0,Mumps,03-2017
North Lebanon,0,Mumps,04-2017
North Lebanon,0,Mumps,05-2017
North Lebanon,0,Mumps,06-2017
North Lebanon,0,Mumps,07-2017
North Lebanon,0,Mumps,08-2017
North Lebanon,0,Mumps,09-2017
North Lebanon,0,Mumps,10-2017
North Lebanon,0,Mumps,11-2017
North Lebanon,0,Mumps,12-2017
Nabatieh Governorate,0,Mumps,01-2017
Nabatieh Governorate,0,Mumps,02-2017
Nabatieh Governorate,0,Mumps,03-2017
Nabatieh Governorate,2,Mumps,04-2017
Nabatieh Governorate,0,Mumps,05-2017
Nabatieh Governorate,0,Mumps,06-2017
Nabatieh Governorate,0,Mumps,07-2017
Nabatieh Governorate,0,Mumps,08-2017
Nabatieh Governorate,0,Mumps,09-2017
Nabatieh Governorate,1,Mumps,10-2017
Nabatieh Governorate,1,Mumps,11-2017
Nabatieh Governorate,2,Mumps,12-2017
Mount Lebanon,3,Mumps,01-2017
Mount Lebanon,2,Mumps,02-2017
Mount Lebanon,3,Mumps,03-2017
Mount Lebanon,5,Mumps,04-2017
Mount Lebanon,6,Mumps,05-2017
Mount Lebanon,3,Mumps,06-2017
